,date,exercise_date,close,contract_type,exercise_price,maturity
285,2015-02-16,2015-04-22,0.2322,call,2.2,0.1780821917808219
3835,2015-02-16,2015-03-25,0.1284,put,2.5,0.10136986301369863
3860,2015-02-16,2015-04-22,0.0565,call,2.5,0.1780821917808219
3508,2015-02-16,2015-09-23,0.1678,call,2.45,0.6
1205,2015-02-16,2015-06-24,0.0485,put,2.2,0.3506849315068493
3184,2015-02-16,2015-03-25,0.0453,call,2.45,0.10136986301369863
2420,2015-02-16,2015-09-23,0.0823,put,2.2,0.6
2879,2015-02-16,2015-09-23,0.1392,put,2.35,0.6
1808,2015-02-16,2015-09-23,,call,2.25,0.6
1655,2015-02-16,2015-09-23,0.312,call,2.2,0.6
1961,2015-02-16,2015-09-23,,call,2.3,0.6
473,2015-02-16,2015-04-22,0.0994,call,2.4,0.1780821917808219
845,2015-02-16,2015-06-24,0.2257,call,2.25,0.3506849315068493
755,2015-02-16,2015-06-24,0.2618,call,2.2,0.3506849315068493
379,2015-02-16,2015-04-22,0.1564,call,2.3,0.1780821917808219
708,2015-02-16,2015-04-22,0.0938,put,2.4,0.1780821917808219
426,2015-02-16,2015-04-22,0.1272,call,2.35,0.1780821917808219
89,2015-02-16,2015-03-25,0.0939,call,2.35,0.10136986301369863
1385,2015-02-16,2015-06-24,0.0804,put,2.3,0.3506849315068493
3211,2015-02-16,2015-03-25,0.0973,put,2.45,0.10136986301369863
3238,2015-02-16,2015-04-22,0.075,call,2.45,0.1780821917808219
3660,2015-02-16,2015-09-23,0.1892,put,2.45,0.6
661,2015-02-16,2015-04-22,0.0694,put,2.35,0.1780821917808219
332,2015-02-16,2015-04-22,0.1927,call,2.25,0.1780821917808219
33,2015-02-16,2015-03-25,0.1723,call,2.25,0.10136986301369863
4122,2015-02-16,2015-09-23,0.1514,call,2.5,0.6
1115,2015-02-16,2015-06-24,0.139,call,2.4,0.3506849315068493
2726,2015-02-16,2015-09-23,0.1152,put,2.3,0.6
567,2015-02-16,2015-04-22,0.0322,put,2.25,0.1780821917808219
1295,2015-02-16,2015-06-24,0.0634,put,2.25,0.3506849315068493
3419,2015-02-16,2015-06-24,0.1529,put,2.45,0.3506849315068493
3284,2015-02-16,2015-04-22,0.1209,put,2.45,0.1780821917808219
520,2015-02-16,2015-04-22,0.0217,put,2.2,0.1780821917808219
145,2015-02-16,2015-03-25,0.0138,put,2.2,0.10136986301369863
2267,2015-02-16,2015-09-23,0.1915,call,2.4,0.6
3032,2015-02-16,2015-09-23,0.165,put,2.4,0.6
2114,2015-02-16,2015-09-23,0.2179,call,2.35,0.6
1025,2015-02-16,2015-06-24,0.1654,call,2.35,0.3506849315068493
5,2015-02-16,2015-03-25,0.2172,call,2.2,0.10136986301369863
3948,2015-02-16,2015-06-24,0.0979,call,2.5,0.3506849315068493
229,2015-02-16,2015-03-25,0.0458,put,2.35,0.10136986301369863
201,2015-02-16,2015-03-25,0.0305,put,2.3,0.10136986301369863
